PLAYER,TEAM,CONF,POSITION,GAMES,VALUE_MILLIONS,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,GP,M0,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
Jerryd Bayless,Philadelphia 76ers,East,PG,41,800,28,23.7,3.7,10.7,0.344,0.7,1.7,0.4,3,9,0.333,0.375,3,3.3,0.9,1,3,4,4.3,0,0,3,1.3,11,3,23.7,-2.23,-0.47,-2.7,0.02,9.7,97.84,1,9.42,188,2,5
Emmanuel Mudiay,Denver Nuggets,West,PG,41,890,20,25.6,3.8,10,0.377,1,3.2,0.315,2.8,6.8,0.408,0.428,2.4,3,0.784,0.5,2.7,3.2,3.9,0.7,0.2,2.2,1.7,11,55,25.6,-1.52,-2.38,-3.9,-0.71,7.4,101.93,25,3.24,545,69,21
Thaddeus Young,Indiana Pacers,East,PF,41,880,28,30.2,4.9,9.3,0.527,0.6,1.6,0.381,4.3,7.7,0.557,0.56,0.6,1.2,0.523,1.8,4.3,6.1,1.6,1.5,0.4,1.3,1.8,11,74,30.2,-1.09,1.94,0.85,5.66,9.7,98.97,40,14.15,269,0,1.5
J.J. Barea,Dallas Mavericks,West,PG,41,1450,32,22,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0,1.8,0.9,10.9,35,22,0.15,-1.57,-1.42,0.8,13.4,95.14,11,4.1,5,0,17.5
Justise Winslow,Miami Heat,East,SF,41,1350,20,34.7,4.4,12.5,0.356,0.4,1.9,0.2,4.1,10.6,0.384,0.371,1.6,2.6,0.617,1.3,3.9,5.2,3.7,1.4,0.3,1.8,2.9,10.9,18,34.7,-4.08,0.16,-3.92,-0.31,5.9,97.53,4,2.59,573,88.5,33.5
Marcin Gortat,Washington Wizards,East,C,41,1000,32,31.2,4.8,8.2,0.579,0,0,0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,82,31.2,-1.25,1.18,-0.07,5.01,10.9,99.85,49,12,315,1,1
Courtney Lee,New York Knicks,East,SG,41,3300,31,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.533,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,77,31.9,0.58,-1.51,-0.93,3.4,7.7,97.86,29,11.24,337.5,2,1
Allen Crabbe,Portland Trail Blazers,West,SG,41,1050,24,28.5,3.8,8.2,0.468,1.7,3.8,0.444,2.1,4.4,0.49,0.572,1.3,1.6,0.847,0.2,2.6,2.9,1.2,0.7,0.3,0.8,2.2,10.7,79,28.5,0.22,-2.87,-2.65,0.68,7.4,99.95,39,18.5,193.5,11.5,9
Nikola Mirotic,Chicago Bulls,East,PF,41,2500,25,24,3.7,8.9,0.413,1.8,5.4,0.342,1.8,3.5,0.52,0.516,1.4,1.8,0.773,0.9,4.6,5.5,1.1,0.8,0.8,1.1,1.8,10.6,70,24,0.92,1.31,2.23,5.69,10.4,97.95,37,5.78,5,119,50.5
Marcus Smart,Boston Celtics,East,SG,41,2200,22,30.4,3.4,9.5,0.359,1.2,4.2,0.283,2.2,5.3,0.42,0.422,2.6,3.2,0.812,1,2.9,3.9,4.6,1.6,0.4,2,2.4,10.6,79,30.4,0.26,0.49,0.75,5.98,8.1,100.29,51,3.58,399.5,1,9
Marco Belinelli,Charlotte Hornets,East,SG,41,780,30,24,3.6,8.3,0.429,1.4,3.8,0.36,2.2,4.5,0.488,0.512,2,2.3,0.893,0.2,2.2,2.4,2,0.6,0.1,0.9,1.2,10.5,74,24,0.67,-1.87,-1.2,2.15,8.8,97.98,34,6.33,282.5,0,15
Wayne Ellington,Miami Heat,East,SG,41,1350,29,24.2,3.7,9,0.416,2.4,6.4,0.378,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,62,24.2,2.26,-1.6,0.66,3.58,8.2,97.3,35,6,204,18,12
Cody Zeller,Charlotte Hornets,East,PF,41,780,24,27.8,4.1,7.1,0.571,0,0,0,4.1,7.1,0.572,0.571,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1,0.9,1,3,10.3,62,27.8,-0.07,3.42,3.35,6.97,9.6,97.57,33,5.32,376.5,90,29
Draymond Green,Golden State Warriors,West,PF,41,2600,26,32.5,3.6,8.6,0.418,1.1,3.5,0.308,2.5,5.1,0.494,0.481,2,2.8,0.709,1.3,6.6,7.9,7,2,1.4,2.4,2.9,10.2,76,32.5,1.55,5.59,7.14,16.84,11.7,103.34,62,15.33,2946,627,168.5
Josh Richardson,Miami Heat,East,SG,41,1350,23,30.5,3.8,9.7,0.394,1.4,4.3,0.33,2.4,5.4,0.444,0.467,1.1,1.5,0.779,0.7,2.5,3.2,2.6,1.1,0.7,1.2,2.5,10.2,53,30.5,-1.63,0.06,-1.57,1.57,6.9,97.52,23,1.47,192,42,10
Trevor Booker,Brooklyn Nets,East,PF,41,1800,29,24.7,4.3,8.3,0.516,0.4,1.1,0.321,3.9,7.2,0.546,0.537,1,1.5,0.673,2,6,8,1.9,1.1,0.4,1.8,2.1,10,71,24.7,-2.29,2,-0.29,3.3,12.7,103.12,18,9.25,160.5,16.5,8
Maurice Harkless,Portland Trail Blazers,West,SF,41,1050,23,28.9,4.1,8.1,0.503,0.9,2.5,0.351,3.2,5.6,0.572,0.558,1,1.6,0.621,1.6,2.8,4.4,1.1,1.1,0.9,1.1,2.8,10,77,28.9,0.38,0.49,0.87,5.67,6.9,99.45,38,8.99,204.5,0,14.5
Jamal Murray,Denver Nuggets,West,SG,41,890,19,21.5,3.6,8.9,0.404,1.4,4.2,0.334,2.2,4.7,0.466,0.483,1.3,1.5,0.883,0.5,2.1,2.6,2.1,0.6,0.3,1.4,1.5,9.9,82,21.5,0.06,-1.57,-1.51,1.86,7.8,101.15,40,3.21,411,0,62.5
Kenneth Faried,Denver Nuggets,West,PF,41,890,27,21.2,3.7,6.8,0.548,0,0.1,0,3.7,6.7,0.556,0.548,2.1,3.1,0.693,3,4.6,7.6,0.9,0.7,0.7,1,2,9.6,61,21.2,-0.07,-1.55,-1.62,1.27,12.4,100.81,29,12.08,376.5,14,8
E'Twaun Moore,New Orleans Pelicans,West,SG,41,750,27,24.9,3.9,8.5,0.457,1.1,2.8,0.37,2.8,5.6,0.501,0.519,0.8,1,0.77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,1.8,9.6,73,24.9,-0.24,-1.58,-1.82,1.5,7.3,100.16,32,8.08,151,0,10
Derrick Favors,Utah Jazz,West,PF,41,910,25,23.7,4.1,8.3,0.487,0.1,0.2,0.3,4,8.1,0.491,0.49,1.3,2.2,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,50,23.7,-2.76,2.06,-0.7,1.73,10.8,92.72,33,11.05,295,25,6.5
Patty Mills,San Antonio Spurs,West,PG,41,1175,28,21.9,3.4,7.8,0.44,1.8,4.4,0.414,1.6,3.3,0.474,0.558,0.8,1,0.825,0.3,1.5,1.8,3.5,0.8,0,1.3,1.4,9.5,80,21.9,2.53,-1.26,1.27,4.86,10,98.97,60,3.58,522,112,19
Nik Stauskas,Philadelphia 76ers,East,SG,41,800,23,27.4,3.1,7.9,0.396,1.7,4.5,0.368,1.5,3.4,0.433,0.5,1.5,1.9,0.813,0.3,2.6,2.8,2.4,0.6,0.4,1.6,1.8,9.5,80,27.4,-0.32,-2.25,-2.57,0.78,6.7,100.28,27,2.99,451,28,11
Michael Beasley,Milwaukee Bucks,East,PF,41,785,28,16.7,3.9,7.3,0.532,0.3,0.8,0.419,3.5,6.5,0.545,0.554,1.4,1.9,0.743,0.7,2.7,3.4,0.9,0.5,0.5,1.2,1.6,9.4,56,16.7,-1.7,-0.61,-2.31,0.48,11.6,97.91,23,1.4,939,8,5
Brandon Ingram,Los Angeles Lakers,West,SF,41,3000,19,28.8,3.5,8.7,0.402,0.7,2.4,0.294,2.8,6.3,0.443,0.442,1.7,2.7,0.621,0.8,3.2,4,2.1,0.6,0.5,1.5,2,9.4,79,28.8,-1.76,-2.93,-4.69,-2.32,5.5,100.45,26,5.28,1203,194,100
Cory Joseph,Toronto Raptors,East,PG,41,1125,25,25,3.7,8.3,0.452,0.6,1.7,0.356,3.1,6.6,0.477,0.489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,80,25,-0.5,-1.94,-2.44,0.86,8.9,97.43,49,7.32,516.5,48.5,15
Marquese Chriss,Phoenix Suns,West,PF,41,1100,19,21.3,3.5,7.7,0.449,0.9,2.7,0.321,2.6,5,0.52,0.506,1.4,2.2,0.624,1.2,3.1,4.2,0.7,0.8,0.9,1.3,3.2,9.2,82,21.3,-1.96,-1.82,-3.78,-0.76,6.3,103.56,24,2.94,252,0,22
