PLAYER,TEAM,CONF,POSITION,GAMES,VALUE_MILLIONS,AGE,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,POINTS,GP,M0,ORPM,DRPM,RPM,WINS_RPM,PIE,PACE,W,SALARY_MILLIONS,PAGEVIEWS,TWITTER_FAVORITE_COUNT,TWITTER_RETWEET_COUNT
D'Angelo Russell,Los Angeles Lakers,West,PG,41,3000,20,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,3,0.782,0.5,3,3.5,4.8,1.4,0.3,2.8,2.1,15.6,63,28.7,0.75,-2.45,-1.7,1.69,9.9,100.87,21,5.33,1327,0,232
Jrue Holiday,New Orleans Pelicans,West,PG,41,750,26,32.7,6,13.3,0.454,1.5,4.2,0.356,4.6,9.1,0.498,0.51,1.8,2.5,0.708,0.7,3.3,3.9,7.3,1.5,0.7,2.9,2,15.4,67,32.7,0.64,1.18,1.82,6.89,12.1,100.12,32,11.29,547.5,0,39
Jeff Teague,Indiana Pacers,East,PG,41,880,28,32.4,4.9,11.1,0.442,1.1,3.1,0.357,3.8,8,0.475,0.492,4.4,5.1,0.867,0.4,3.6,4,7.8,1.2,0.4,2.6,2,15.3,82,32.4,1.86,-0.22,1.64,8.08,13.1,98.98,42,8.8,12,17.5,13.5
Nicolas Batum,Charlotte Hornets,East,SG,41,780,28,34,5.1,12.7,0.403,1.8,5.3,0.333,3.4,7.4,0.453,0.472,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,77,34,1.3,-0.35,0.95,6.73,11.8,98.76,35,20.87,374.5,114.5,66
Gary Harris,Denver Nuggets,West,SG,41,890,22,31.3,5.6,11.2,0.502,1.9,4.5,0.42,3.7,6.7,0.558,0.586,1.8,2.4,0.776,0.8,2.3,3.1,2.9,1.2,0.1,1.3,1.6,14.9,57,31.3,2.88,-2.37,0.51,4.29,9.1,100.41,29,1.66,187.5,6,2.5
Jordan Clarkson,Los Angeles Lakers,West,SG,41,3000,24,29.2,5.8,13.1,0.445,1.4,4.3,0.329,4.4,8.7,0.503,0.5,1.6,2,0.798,0.6,2.4,3,2.6,1.1,0.1,2,1.8,14.7,82,29.2,-0.63,-3.39,-4.02,-1.4,8.4,101.34,26,12.5,1386.5,55.5,179.5
Khris Middleton,Milwaukee Bucks,East,SF,41,785,25,30.7,5.2,11.5,0.45,1.6,3.6,0.433,3.6,7.9,0.459,0.518,2.8,3.2,0.88,0.4,3.9,4.2,3.4,1.4,0.2,2.2,2.7,14.7,29,30.7,0.14,1.26,1.4,2.44,10.4,94.63,19,15.2,255.5,16,9
Nikola Vucevic,Orlando Magic,East,C,41,920,26,28.8,6.4,13.7,0.468,0.3,1,0.307,6.1,12.7,0.481,0.48,1.4,2.1,0.669,2.3,8,10.4,2.8,1,1,1.6,2.4,14.6,75,28.8,-1.38,2.15,0.77,5.44,14.2,100.74,27,11.75,10,5.5,35.5
Jeremy Lin,Brooklyn Nets,East,PG,41,1800,28,24.5,4.9,11.1,0.438,1.6,4.3,0.372,3.3,6.8,0.48,0.51,3.2,3.9,0.816,0.3,3.4,3.8,5.1,1.2,0.4,2.4,2.2,14.5,36,24.5,0.48,-0.03,0.45,2.21,13.1,106.86,13,11.48,3147,936.5,197.5
Myles Turner,Indiana Pacers,East,C,41,880,20,31.4,5.5,10.7,0.511,0.5,1.4,0.348,5,9.3,0.536,0.534,3,3.7,0.809,1.7,5.6,7.3,1.3,0.9,2.1,1.3,3.2,14.5,81,31.4,0.09,2.57,2.66,9.31,11.2,98.5,42,2.46,10,53,31
